x,y,z
50.0,50.0,50.0
44.91479005469428,31.039278475597822,69.81413109108436
33.35877090046466,44.42806660581837,71.87423694104764
38.01973039934591,51.96642829525517,79.31199720763327
38.89264687395808,49.89006415672886,84.28618564256033
35.087898696802036,49.60205176552799,89.26474141745697
36.923536445919865,42.81520887848761,91.58732646721863
39.7160983452491,38.62980092924849,89.17547296312124
37.810243817676124,39.15711784806799,90.70223719090815
28.928255552668578,42.75186083812341,83.47325548078481
26.01120897856021,52.23838390244954,84.62536161276037
25.349778978670617,54.14535339923613,84.38091266701599
20.51934809749503,44.93758048210005,83.62078677196037
12.500447734914646,43.0695863129014,80.09332139248637
17.045014529235242,41.05453156744001,85.65012584009122
0.6765430811690152,50.67929865379678,68.6731193550599
10.780434541578447,56.56080625853731,41.68314690075741
12.518780288301267,49.97267796583518,40.50760059996318
6.888068011271281,44.04752656211527,37.8467798887651
4.747097241591533,45.80405108663942,33.27659769776165
4.750752114478526,46.09426451889388,33.5494056712537
