x,y,z,energy_eV
-50,0,0,522784.0199750312
50.000000000000014,0.0,0.0,522784.0199750312
51.33105377484001,0.9198250314785469,0.8690579019373516,522784.0199750312
55.042193064278955,4.656725803483191,-3.2221502461281797,470650.43349552667
59.593153767891195,8.444389456999918,-2.5320763732181515,423715.7642272747
65.46703906038721,10.09701324999728,-7.75007249390914,381461.5605924218
68.99419474141015,14.221265612531155,-8.637373391853407,343421.0725555044
70.21298741154405,15.503535607995383,-8.886387882398989,309174.09579096653
80.30257233594384,21.3885131064891,-22.156544220779075,278342.33000571775
81.07223058451324,22.014526007049458,-21.30778837618069,250585.20014365172
92.84059761640694,25.084655242173156,-17.028793003184354,225596.0943121518
94.9747489476274,22.503079669071766,-18.586217664092583,203098.97687382088
105.19523005729255,14.888984169913927,-25.33440795005656,182845.33929083595
128.5618935438582,15.697407313689725,-27.587899876807768,164611.45504022625
138.80175463608575,10.74917749122035,-22.826693693859212,148195.908277212
141.9868420934632,11.329239675450298,-22.465850116884702,133417.36894762854
143.37884212211478,11.332847068241685,-23.91677682187455,120112.58977279576
145.8921625011317,11.198058253025694,-25.972241232497566,108134.60298104881
146.88928816806103,11.251615314123361,-26.55628247396011,97351.09686659518
157.75887935303743,23.510939453402095,-33.41736704125279,87642.9542427796
168.02245701027542,18.669922080444017,-40.25962123762568,78902.93664516168
213.29175927460858,6.987146868964327,-60.00571677046153,71034.49974979929
229.11245235991632,12.556820027080288,-57.18006525693122,63950.726921564456
245.0203564252392,26.53913963204639,-36.85547987926218,57573.36911221177
245.1981698231795,26.431359431170083,-37.0204222116947,51831.98050268372
245.4741095173652,26.72698376456297,-37.02866530507295,46663.14034175127
255.79954941937027,31.629424613143964,-31.436152184114313,42009.752385233136
256.6205827162236,31.540532763523206,-30.707454344831973,37820.41419723204
256.81356256492126,31.345566468329032,-30.930544367619575,34048.84934653854
272.82639946473836,23.231935217651966,-29.14030480640316,30653.396226108103
275.37509852924615,20.792338684155858,-27.283293927785696,27596.54784898929
291.89508789732724,15.60955028098709,-26.91084422583717,24844.53753717872
305.05515034659703,12.627523171866699,-41.66712515708142,22366.965926822944
306.9905346368241,10.79218958810744,-40.39761070093167,20136.46516957744
313.5412124341596,10.85315483269565,-37.14522273747966,18128.396620810716
317.79235108736094,7.303176641856704,-35.137088651301454,16320.578675245104
317.9574363980737,7.378815692192209,-35.154061419388626,14693.041743641714
319.032514327401,8.26416663102747,-35.40048264554273,13227.807663943371
324.97837339717137,7.319079660309172,-34.844630650337464,11908.691110198326
328.2576316331102,11.819825456805559,-32.52782088572207,10721.120805580209
330.8581692351821,13.621225818515754,-28.83013725870757,9651.97856458052
332.046967446621,12.664317502833097,-29.11062827789941,8689.454386395206
332.3263990828735,12.947410709067737,-28.84216019869071,7822.915998832249
