x,y,z,energy_eV
-50,0,0,522784.0199750312
50.000000000000014,0.0,0.0,522784.0199750312
68.03738143561397,-11.30551664509543,16.213960477373647,522784.0199750312
75.48134955447242,-8.459252766454043,11.210801500147332,470650.43349552667
76.34826430023163,-8.576324516552978,10.14342662873545,423715.7642272747
76.47713711284136,-8.477261037586635,10.13372197912918,381461.5605924218
92.51766585971228,-16.766211077979264,26.254432601722833,343421.0725555044
137.73338950522165,-8.40441099301892,4.749354959368272,309174.09579096653
142.2941953305343,-6.181614248445695,2.5411253610818116,278342.33000571775
149.1684874906061,-1.65201704378602,11.004301255626327,250585.20014365172
163.28236893546298,17.599255109850606,-0.9845898973068756,225596.0943121518
173.22667185610408,22.048291118808063,-12.573029473596074,203098.97687382088
179.46467355606794,28.544350070338965,-8.933974038768866,182845.33929083595
187.37937387686318,28.156100253747002,-9.81687429835707,164611.45504022625
202.16984842040455,14.774123626472536,-28.108698971835373,148195.908277212
202.69320610865807,15.346081548414302,-28.202881605625635,133417.36894762854
208.98910975838524,12.822652453626187,-33.16870375606241,120112.58977279576
216.27233570972277,8.971030363648163,-34.46798085673162,108134.60298104881
218.50424255291375,7.935405807812844,-35.21145554989091,97351.09686659518
227.57531765782915,17.11542394713946,-30.123141779813075,87642.9542427796
239.58730212017346,10.422086430291586,-31.222187166739012,78902.93664516168
268.7557724304199,-10.16369793191619,-45.99785492405113,71034.49974979929
287.2667766536779,-15.188204255359954,-43.60793425165205,63950.726921564456
289.66901987587124,-15.086871568834779,-44.84944610962667,57573.36911221177
294.15710666224277,-16.262368524588595,-39.26765194650746,51831.98050268372
307.584957019579,-15.393581034621832,-43.77968370446228,46663.14034175127
311.2864181812274,-11.709070354938865,-38.54997802825046,42009.752385233136
315.3615222248476,-11.391813005816074,-34.8787543674176,37820.41419723204
316.66762267706343,-10.675961723111707,-35.1600039703282,34048.84934653854
324.7450674242614,-2.5091828984074684,-38.68109504189021,30653.396226108103
339.4105998966845,-20.52760483492714,-53.797418617293744,27596.54784898929
364.9891235224801,-27.99512006145455,-60.44809147495314,24844.53753717872
377.7129646392703,-43.00433822095695,-69.14199853580153,22366.965926822944
394.69690773895843,-47.49225895039888,-84.96268931115694,20136.46516957744
421.86292167020036,-25.43512258080827,-87.40316972036287,18128.396620810716
434.69234822039,-32.96023533145798,-80.4205091266368,16320.578675245104
437.93350905012034,-34.39892094406551,-77.87394102974653,14693.041743641714
455.6065541936569,-43.7024117170882,-93.84031254482193,13227.807663943371
473.87009310205366,-37.798928400390494,-86.27450168103834,11908.691110198326
481.8356815518924,-33.714274434610296,-75.87697449784018,10721.120805580209
485.80155409980847,-39.6099196354287,-78.81388390204722,9651.97856458052
491.9295847884747,-35.875879275258406,-77.58432535580178,8689.454386395206
