x,y,z,energy_eV
-10.0,0.0,0.0,522784.0199750312
-9.0,0.0,0.0,522784.0199750312
-8.0,0.0,0.0,522784.0199750312
-7.0,0.0,0.0,522784.0199750312
-6.0,0.0,0.0,522784.0199750312
-5.0,0.0,0.0,522784.0199750312
-4.0,0.0,0.0,522784.0199750312
-3.0,0.0,0.0,522784.0199750312
-2.0,0.0,0.0,522784.0199750312
-1.0,0.0,0.0,522784.0199750312
0.0,0.0,0.0,522784.0199750312
48.80856065786274,36.250186104973345,10.541308659429601,522784.0199750312
827.2770822445628,460.96920427274193,1067.4290217780776,470650.43349552667
1221.828273290724,556.5232165915652,1316.075562614094,423715.7642272747
1264.1821602632199,593.9553443013589,1303.6218534729576,381461.5605924218
1484.6010236158097,885.9283071385114,1098.4680574254837,343421.0725555044
1516.245789052725,919.1924233570029,1100.2500092330936,309174.09579096653
1574.855474977462,879.8164944512578,1049.4011726621136,278342.33000571775
1714.7740954554738,870.1852183035579,1238.2398765130322,250585.20014365172
2193.261239899635,1005.7901040377376,1389.8858469402935,225596.0943121518
