x,y,z,energy_eV
-10.0,0.0,0.0,1306.960049937578
-9.0,0.0,0.0,1306.960049937578
-8.0,0.0,0.0,1306.960049937578
-7.0,0.0,0.0,1306.960049937578
-6.0,0.0,0.0,1306.960049937578
-5.0,0.0,0.0,1306.960049937578
-4.0,0.0,0.0,1306.960049937578
-3.0,0.0,0.0,1306.960049937578
-2.0,0.0,0.0,1306.960049937578
-1.0,0.0,0.0,1306.960049937578
0.0,0.0,0.0,1306.960049937578
12.246519447391819,2.3086970872485906,5.345723273019694,1306.960049937578
18.213439943886147,-4.239988577018034,9.399297354860618,1176.6260837388168
51.28016046422253,-7.448158008968466,14.101383878306157,1059.2894105681867
69.4430874056749,-6.536732845712589,20.48379623040577,953.6539014810544
117.47969782692978,-23.683844175397088,23.280182728926075,858.5526813887608
121.18198640029145,-25.548998900270867,19.507155546771305,772.9352394774162
127.42464534491823,-23.433552475285165,16.090497966613768,695.8558250142943
152.9259813301686,-6.318310051483504,8.08324107233897,626.4630003591292
159.9722837741196,-5.495706155802247,7.560305743411438,563.9902357803794
165.25860413459887,-8.59994301060878,8.065376883370366,507.7474421845521
173.78232845743867,4.642535366490238,13.889637150153774,457.11334822708983
183.45125090371153,-0.7187462123937625,3.1193791243528004,411.5286376005656
186.2783673388733,-2.1774159452789688,0.19676292254742656,370.48977069303
195.16165360417057,-2.868368845240678,2.0169919750845926,333.5434223690713
196.06763565496004,-3.5440396247101082,2.4863116115542137,300.2814744319894
221.15453523805934,1.8830128044351424,-0.6339478094236175,270.336507452622
233.98326906225623,0.7964464500653685,3.7333722506877955,243.37774216648796
257.1090146200087,3.5343469605279365,9.318409169079896,219.10738560694898
270.87170408503727,20.618877520455875,5.6156242998148915,197.25734161290418
277.2823278057759,12.486681406719276,5.815182632488338,177.5862493744982
279.85284122619584,13.522313771770971,2.323832439254168,159.8768173039111
281.86186353944004,13.340072826872568,4.6344973724327865,143.93342278052938
285.12271971414134,9.756905195176824,6.985591592970444,129.57995125670928
285.5639885694818,9.194198668265848,6.624495438531316,116.65785085437815
290.1542805400969,7.444752575498128,2.7698151590873628,105.02438096308282
302.4646188594017,10.188719635103084,0.6620250250881252,94.5510354930801
319.01485155625426,4.618843176343503,-13.312875397049737,85.12212336634634
370.6636862082102,-34.98690135021405,-74.84210431496767,73.03377448591847
477.3593904151734,-20.969085462676915,-33.099437144994724,62.66211420389455
609.5075659596797,-104.33176014451742,42.276450894176364,53.76335242345982
