x,y,z,energy_eV
-10.0,0.0,0.0,0.037877355524344576
-9.0,0.0,0.0,0.037877355524344576
-8.0,0.0,0.0,0.037877355524344576
-7.0,0.0,0.0,0.037877355524344576
-6.0,0.0,0.0,0.037877355524344576
-5.0,0.0,0.0,0.037877355524344576
-4.0,0.0,0.0,0.037877355524344576
-3.0,0.0,0.0,0.037877355524344576
-2.0,0.0,0.0,0.037877355524344576
-1.0,0.0,0.0,0.037877355524344576
0.0,0.0,0.0,0.037877355524344576
0.039889017110414746,-0.04037845524506781,0.0280831507490352,0.037877355524344576
0.05013120909748146,-0.04025821954423122,0.007689180442514498,0.037877355524344576
-0.030228831845980922,0.06600015676976614,0.08155378406636653,0.037877355524344576
