x,y,z,energy_eV
-10.0,0.0,0.0,522784.0199750312
-9.0,0.0,0.0,522784.0199750312
-8.0,0.0,0.0,522784.0199750312
-7.0,0.0,0.0,522784.0199750312
-6.0,0.0,0.0,522784.0199750312
-5.0,0.0,0.0,522784.0199750312
-4.0,0.0,0.0,522784.0199750312
-3.0,0.0,0.0,522784.0199750312
-2.0,0.0,0.0,522784.0199750312
-1.0,0.0,0.0,522784.0199750312
0.0,0.0,0.0,522784.0199750312
558.6614695856474,-121.20758972229129,471.7658476646971,522784.0199750312
639.4437895747863,-208.76070274829488,480.407742896951,470650.43349552667
1334.8820455885848,542.3911818626948,997.6162412940369,423715.7642272747
1824.9095244901719,52.700751953244946,1420.9490142570364,381461.5605924218
1855.0461407584446,67.45491329527971,1456.037235070904,343421.0725555044
1868.4531368611922,68.7306770272197,1476.7961698591964,309174.09579096653
2064.7946205568815,-2.2032585674033527,1389.2569292954424,278342.33000571775
2077.14186371661,14.453922992333872,1398.3798352375466,250585.20014365172
3012.250549717995,455.090835241381,1898.1303108428208,225596.0943121518
